If	Then	Confidence
B00001TOXD	B00BG34G3C	0.75
B01EV7JN5K	B074MN5RRD	0.67
B003E8ZORY	B008DD510A	1.00
B01C7YZN1C	B074MN5RRD	1.00
B002N3CE0Q	B000H3T5HO	1.00
B01H5RFYT2	B008DD51O6	1.00
B07CRWD727	B074MNNW5T	1.00
B07JKZR4BP	B00BZ5S9TI	0.75
B00IYP3E9W	B00ZPFA8T8	1.00
B003IC4W6A	B01ENRXHLO	0.67
B06WW5SZLV	B008DD510A	1.00
B000H3NRPK	B00BZ5S9QG	0.50
B00322XV8Q	B00BG34G3C	1.00
B00OQ7R9DE	B00WO3ML6C	1.00
B00MDU0XCA	B07BR6RMYS	0.75
B000A0UO0G	B01KWX8NU8	0.75
B00BMDAEHS	B00WFAGA7A	0.67
B009A882D0	B07CM33RK6	1.00
B074QMGVML	B00BG34FKG	1.00
B0042U3F6A	B000A0UO0G	0.67
B07C5F6YDF	B00W9DYBDS	1.00
B008DD51O6	B008DD5114	0.67
B01LF76SJS	B012S37HQ6	1.00
B00T6J4IQI	B008DD51O6	1.00
B011W56OXS	B00I5RKX02	0.67
B01N8VPAQG	B00284B0AK	1.00
B01KU4LRW0	B07CRWD727	0.67
B07BR6RMYS	B00IMSWSZ2	0.50
B0042ZG2K6	B000H3T5HO	0.67
B01LF76SJS	B009A882D0	1.00
B07D1TRJ94	B00318CBS2	0.83
B07BT98MVN	B001RNO30W	1.00
B074MN5RRD	B01FQUHACY	1.00
B01KWX8NU8	B00MDU0XCA	0.67
B01LX9T2O1	B07D1TRJ94	1.00
B00BJH4NXS	B002B4EAZY	1.00
B003VR4XH0	B002UDUPP0	1.00
B003AIKE6E	B01HNOIS4A	1.00
B00I5RKX02	B016C9GLBY	1.00
B00BJH3JVA	B00BMDAEHS	1.00
B002YAGIOG	B003AIKE6E	1.00
B07CKZVG19	B00IKCMPB2	1.00
B002YAGIOG	B01D10RT22	1.00
B0042ZG2K6	B000H3NRPK	0.67
B0042U3F6A	B003ITL74S	0.67
B013O1T4NA	B007P28FN0	1.00
B01EV7JN5K	B011W56OXS	1.00
B002KJ3A74	B000H3T5HO	1.00
B00BJH4NWO	B00MDU0XCA	1.00
B00BJH25Y2	B002N3CE0Q	1.00
B00BJH25Y2	B00BZ5S9QG	1.00
B013Y79ZJ2	B0765CR135	0.67
B06WW5SZLV	B00YS65KTS	1.00
B0042ZG2K6	B00236ZCMK	0.67
B06WW5SZLV	B0765CR135	0.67
B003IC4W6A	B01H5RFYT2	1.00
B003VR4XH0	B000A0UO0G	1.00
B07KGHTC97	B00GN3KC6U	1.00
B00JMBDN8O	B07JHBBGQ9	0.67
B007KFQ3E0	B07BRDZVK2	1.00
B012S37HQ6	B00318CBS2	1.00
B00DM276NW	B007FPQ3TU	1.00
B07LBZVCQT	B000H3T5HO	1.00
B0765CR135	B003A7PB5Y	1.00
B002B57MA8	B01KWX8NU8	1.00
B0042U3F6A	B00322XV8Q	0.67
B013O1T4NA	B001SES07C	1.00
B011W56OXS	B01H5RFYT2	1.00
B004AI3XUM	B00KQF4VZY	1.00
B01D10RT22	B001SES07C	1.00
B003QHZDW4	B00GN3KC6U	0.67
B01FR8IDFI	B01I5QJDZ8	0.67
B003QHZDW4	B01LQP6VTG	1.00
B003S3SPZS	B00BG34FKG	1.00
B07JHBBGQ9	B00JMBDTWO	1.00
B00BJH3JT2	B00001TOXD	1.00
B00LCVVDOI	B0042U3F6A	0.60
B00WFAGA7A	B00IP8Q9KE	1.00
B00W9DYBDS	B01HNOIS4A	1.00
B003A7PB5Y	B07J4VF2C8	0.67
B00318CBS2	B003AIKE6E	1.00
B01N2OZV41	B01I5QJDZ8	1.00
B00318CBS2	B01D10RT22	1.00
B06XRSGM2R	B00T6JFPBK	0.67
B00BM5RUNM	B00BG34FKG	0.67
B07BT98MVN	B07D1TRJ94	1.00
B00MDU0X7A	B01N8VPAQG	1.00
B00BJH4NXS	B00BG34G3C	1.00
B01HNOIS4A	B00P2D5U7I	1.00
B00BZ5S9TI	B003QHZDW4	0.67
B013Y79ZJ2	B074MNNW5T	1.00
B07JKZR4BP	B00BJH4NWO	0.50
B003S3SPZS	B003QHZDW4	1.00
B000A0UO0G	B07LBZVCQT	0.50
B07JKZR4BP	B00BG34FKG	1.00
B07FXN39TM	B000H3T5HO	1.00
B07FXN39TM	B00001TOXD	1.00
B00BG34G3C	B07LBZVCQT	0.50
B00FB3JHVO	B07JHBBGQ9	0.67
B001V51SIG	B016C9GLBY	1.00
B000WCSAN0	B001E2R2M2	1.00
B005TS13Y0	B00P2D5U7I	1.00
B00MDU0XCA	B076QJBZ9B	0.50
B00BJH25Y2	B00WFAGA7A	1.00
B011W56OXS	B00OQ7R9DE	1.00
B00IKCMPB2	B0030552C8	1.00
B00WO3ML6C	B07CRWD727	0.67
B003IC4W6A	B013Y79ZJ2	1.00
B00NVKOEV2	B003ITL74S	0.67
B016C9GLBY	B00YS65KTS	1.00
B01M3R75G6	B003AIKE3C	1.00
B019NGYG2E	B00236ZCMK	1.00
B07BR6RMYS	B0087UKLR2	0.50
B003A7PB5Y	B001V51SIG	0.67
B00BZ5S9QG	B00IP8Q9KE	0.67
B000WNL1G2	B00ZPFA8T8	1.00
B0087UHZ9O	B00BZ5S9QG	1.00
B000000XB8	B005TS13Y0	1.00
B01C7YZN1C	B011W56OXS	1.00
B011W56OXS	B013Y79ZJ2	1.00
B01KBF01FM	B07CRWD727	1.00
B01MV12ZLL	B07BSV262S	1.00
B07FXN39TM	B00236ZCMK	1.00
B07CM33RK6	B007P28FN0	1.00
B07C5F6YDF	B003AIKE6E	1.00
B07C5F6YDF	B01D10RT22	1.00
B07D1TRJ94	B007KFQ3E0	0.83
B00BZ5S9QG	B000H3T5HO	1.00
B01LX9T2O1	B00318CBS2	1.00
B00BZ5S9QG	B00001TOXD	1.00
B003AIKE6E	B01M3R75G6	1.00
B0765CR135	B01EV7JN5K	1.00
B074MNNW5T	B003IC4W6A	1.00
B001M5CSW0	B00ZPFA8T8	1.00
B002YAGIOG	B01LX9T2O1	1.00
B000000XB8	B013O1T4NA	1.00
B0765CR135	B01KU4LRW0	1.00
B00T6J4IQI	B07C27N7WM	1.00
B07BP31RLV	B07JKZR4BP	1.00
B008DD5114	B00T6JFPBK	1.00
B0087UKLR2	B00001TOXD	0.67
B001E2R2M2	B00LCVVDOI	0.62
B002B57MA8	B00LCVVDOI	1.00
B07C5F6YDF	B002YAGIOG	1.00
B003QHZARM	B00FB3JHVO	1.00
B01FQUHACY	B01N2OZV41	1.00
B00BG34G3C	B00001TOXD	1.00
B0042U3F6A	B00BG34FKG	1.00
B07CM33RK6	B001SES07C	1.00
B01ENRXHLO	B003A7PB5Y	1.00
B00BZ5S9TI	B00IP8Q9KE	0.67
B00BG34FKG	B00IMSWSZ2	0.50
B01D10RT22	B07CM33RK6	1.00
B00BZ5S9QG	B00236ZCMK	1.00
B01KWX8NU8	B00NVKOEV2	0.50
B008DD51O6	B01FR8IDFI	1.00
B00GN3KC6U	B00BZ5PE64	1.00
B01FR8IDFI	B01ENRXHLO	0.67
B0087UKLR2	B003VR4XH0	0.67
B003S3SPZS	B00IP8Q9KE	1.00
B00R9X97YG	B000PLTLNG	1.00
B008DD51O6	B001V51SIG	0.67
B07C9RTFWS	B001E2R2M2	0.67
B07JKZR4BP	B002B57MA8	0.50
B0765CR135	B01H5RFYT2	1.00
B00WFAGA7A	B00001TOXD	1.00
B003A7PB5Y	B00T6J4IQI	0.67
B001E2R2M2	B002UDUPP0	0.75
B00IKCMPAS	B015LYRCFK	1.00
B00BMDAEHS	B00IMSWSZ2	0.67
B01FR8IDFI	B01IVEI1WA	0.67
B002UDUPP0	B00NVKOEV2	0.50
B0765CR135	B00WO3ML6C	1.00
B00WO3ML6C	B008DD51O6	1.00
B074N78SXG	B00J4JWL4G	1.00
B016C9GLBY	B00T6JFPBK	0.67
B004AI3XUM	B001EVXRE0	1.00
B00318CBS2	B01LX9T2O1	1.00
B07BT98MVN	B00318CBS2	1.00
B0765CR135	B01N2OZV41	1.00
B07CRWD727	B003E8ZORY	1.00
B001E2R2M2	B000A0UO0G	0.50
B07CM33RK6	B005TS13Y0	1.00
B07CRWD727	B016C9GLBY	1.00
B074MNNW5T	B06XRSGM2R	1.00
B01N2OZV41	B01IVEI1WA	1.00
B01FR8IDFI	B003E8ZORY	1.00
B007FPQ3TU	B00DM276NW	1.00
B0089B1YSE	B00J9C5US2	1.00
B0006GK6YS	B00284B0AK	1.00
B01FI68VQA	B01FQUHACY	1.00
B0009S6TJY	B00DM276NW	1.00
B003QHZAKO	B00BG34FKG	1.00
B06XRSGM2R	B003IC4W6A	1.00
B01FI68VQA	B008DD510A	1.00
B01FQUHACY	B06WW5SZLV	1.00
B00322XV8Q	B000H3T5HO	1.00
B07BP31RLV	B00IMSWSZ2	1.00
B003AIKE3C	B01HNOIS4A	1.00
B0765CR135	B00OQ7R9DE	1.00
B00YS65KTS	B008DD510A	1.00
B01LQP6VTG	B00BG34FKG	1.00
B00OQ7R9DE	B06XRSGM2R	1.00
B00MDU0XCA	B07BP31RLV	0.50
B0042U3F6A	B00004U3SS	0.67
B076QJBZ9B	B00LCVVDOI	1.00
B00T6JFPBK	B003A7PB5Y	1.00
B07CRWD727	B01FR8IDFI	1.00
B015GPJF2C	B07KGHTC97	0.67
B000H67LEA	B01C375RCI	0.50
B002YAGIOG	B004GGU9QY	1.00
B01ENRXHLO	B003IC4W6A	1.00
B0765CR135	B013Y79ZJ2	1.00
B007FPQ3SQ	B007FPQ3TU	1.00
B004661X8W	B075FY33QD	1.00
B074QMGVML	B000YPMJF0	1.00
B0042ZG2K6	B01KWX8NU8	0.67
B00BJH25Y2	B00BMDAEHS	1.00
B000WCSAN0	B000R4KNE2	1.00
B00IP8Q9KE	B07LBZVCQT	0.67
B001EVXRE0	B004AI3XUM	1.00
B01LX9T2O1	B007KFQ3E0	1.00
B007KFQ3E0	B01LF76SJS	1.00
B003E8ZORY	B01EV7JN5K	1.00
B07CM33RK6	B004GGU9QY	1.00
B015GPJF2C	B019NGYG2E	0.67
B00NVKOEV2	B00BJH3JT2	0.67
B01LQP6VTG	B00BZ5PE64	0.67
B00P2D5U7I	B003AIKE3C	1.00
B001SES07C	B07CM33RK6	1.00
B01LQP6VTG	B003QHZDW4	1.00
B00GN3KC6U	B003QHZDW4	1.00
B01KBF01FM	B003IC4W6A	1.00
B007FPQ3SQ	B00IMSX0QS	1.00
B00I5RKX02	B06XRSGM2R	1.00
B01LX9T2O1	B003AIKE6E	1.00
B0041GWHEG	B01N6X67A8	1.00
B01LX9T2O1	B01D10RT22	1.00
B00GN3KC6U	B00NVKOEV2	1.00
B000H3NRPK	B000A0UO0G	0.67
B074MN5RRD	B00T6JFPBK	1.00
B00BJH4NXS	B003ITL74S	1.00
B003VR4XH0	B00BG34FKG	1.00
B00ZPFA8T8	B00MDU0X7A	1.00
B00BIGBAEK	B07CKZVG19	1.00
B00LCVVDOI	B001E2R2M2	1.00
B013Y79ZJ2	B003E8ZORY	1.00
B07LBZVCQT	B01KWX8NU8	1.00
B013Y79ZJ2	B016C9GLBY	1.00
B009A882D0	B00KX22PBC	1.00
B075VFSLF2	B00FB3JHVO	1.00
B001EVXRE0	B00JMBDTWO	1.00
B00NVKOEV2	B00MDU0XCA	0.67
B00318CBS2	B004GGU9QY	1.00
B01EV7JN5K	B01I5QJDZ8	0.67
B01C7YZN1C	B01I5QJDZ8	1.00
B01NC0KC30	B07CKZVG19	1.00
B00J4JWL4G	B01BVF5CN2	0.67
B01LF76SJS	B00P2D5U7I	1.00
B0089B1YSE	B01NC0KC30	1.00
B003QHZDW4	B00BZ5PE64	0.67
B003E8ZORY	B00WO3ML6C	1.00
B076QJBZ9B	B00BG34FKG	1.00
B002B57MA8	B00BZ5S9QG	0.67
B06WW5SZLV	B00WO3ML6C	1.00
B00JMBDN8O	B00KQF4VZY	1.00
B00IKCMPAS	B00BIGBAEK	1.00
B00IMSWSZ2	B07KGHTC97	0.67
B01C375RCI	B002B57MA8	1.00
B000PLTLNG	B00JMBDTWO	0.67
B00YD39QS2	B075FY33QD	1.00
B07JHBBGQ9	B075FY33QD	1.00
B015LYRCFK	B00J4JWL4G	1.00
B01KU4LRW0	B07C27N7WM	0.67
B007KFQ3E0	B07D1TRJ94	1.00
B003AIKE6E	B001RNO30W	1.00
B015GPJF2C	B07JKZR4BP	1.00
B00UM239Y0	B00BIGBAEK	0.67
B00YS65KTS	B074MNNW5T	1.00
B00BIGBAEK	B01C8MOSSC	1.00
B00KX22PBC	B004GGU9QY	1.00
B00S50FSH2	B07BSV262S	1.00
B00CXOLAWI	B00567KJ6C	1.00
B002YAGIOG	B07BRDZVK2	1.00
B002N3CE0Q	B00LCVVDOI	1.00
B002B57MA8	B001E2R2M2	1.00
B00T6J4IQI	B008DD510A	1.00
B01LQP6VTG	B00IP8Q9KE	1.00
B07BT98MVN	B003AIKE6E	1.00
B07BT98MVN	B01D10RT22	1.00
B00GN3KC6U	B00IP8Q9KE	1.00
B01FR8IDFI	B07J4VF2C8	0.67
B003E8ZORY	B00OQ7R9DE	1.00
B00BG34FKG	B01KWX8NU8	1.00
B00MDU0XCA	B00BG34G3C	1.00
B01NAZEPPF	B00IKCMPB2	1.00
B008DD5114	B01FR8IDFI	1.00
B002N3CE0Q	B00BZ5PE64	0.67
B008DD510A	B06WW5SZLV	1.00
B01N2OZV41	B07J4VF2C8	1.00
B00004U3SS	B000A0UO0G	1.00
B002N3CE0Q	B002UDUPP0	1.00
B000H3NRPK	B07BR6RMYS	0.67
B07BRDZVK2	B07BT98MVN	1.00
B00WO3ML6C	B074MN5RRD	0.67
B008DD5114	B003IC4W6A	1.00
B01C8MOSSC	B00UM239Y0	1.00
B00BZ5S9QG	B01KWX8NU8	1.00
B00W9DYBDS	B001RNO30W	1.00
B0042ZG2K6	B002UDUPP0	0.67
B00IP8Q9KE	B003S3SPZS	0.67
B075VFSLF2	B001EVXRE0	0.67
B01FR8IDFI	B001V51SIG	0.67
B00BIGBAEK	B00UM239Y0	1.00
B07LBZVCQT	B002KJ3A74	0.67
B00BMDAEHS	B00BJH3JVA	0.67
B00BMDAEHS	B00BJH25Y2	0.67
B007FPQ3TU	B000ZQ667A	1.00
B015GPJF2C	B00IMSWSZ2	1.00
B00BZ5PE64	B00GN3KC6U	1.00
B0030552C8	B00IKCMPB2	1.00
B07GB8PQYH	B00001TOXD	1.00
B01C7YZN1C	B01ENRXHLO	1.00
B009A882D0	B012S37HQ6	1.00
B008DD510A	B00YS65KTS	1.00
B00BG34G3C	B002KJ3A74	0.50
B01C8MOSSC	B00IKCMPAS	1.00
B00W9DYAIY	B00KX22PBC	1.00
B00236ZCMK	B00BG34G3C	1.00
B01FQUHACY	B01C7YZN1C	1.00
B07LBZVCQT	B002UDUPP0	1.00
B007P28FN0	B00KX22PBC	1.00
B01KU4LRW0	B008DD510A	1.00
B01EV7JN5K	B01IVEI1WA	0.67
B075FY33QD	B00R9X97YG	1.00
B00318CBS2	B07C5F6YDF	1.00
B01C7YZN1C	B01IVEI1WA	1.00
B002UDUPP0	B00BZ5S9QG	0.50
B00IMSWSZ2	B00BZ5S9QG	0.67
B00BG34G3C	B07JKZR4BP	0.67
B00236ZCMK	B01LQP6VTG	0.60
B07LBZVCQT	B00BZ5S9TI	0.67
B008DD5114	B06XRSGM2R	1.00
B009A882D0	B004GGU9QY	1.00
B07C5F6YDF	B07BRDZVK2	1.00
B07BRDZVK2	B01HNOIS4A	1.00
B074QMGVML	B00BG34G3C	1.00
B07FXN39TM	B00LCVVDOI	1.00
B01M3R75G6	B007P28FN0	1.00
B01HNOIS4A	B07CM33RK6	1.00
B00W9DYBDS	B07D1TRJ94	1.00
B01NC0KC30	B00J4JWL4G	1.00
B001RNO30W	B000000XB8	1.00
B001RNO30W	B00KX22PBC	1.00
B00IMSWSZ2	B07C9RTFWS	0.67
B07LBZVCQT	B015GPJF2C	0.67
B00IMSWSZ2	B07LBZVCQT	0.67
B013O1T4NA	B000000XB8	1.00
B01NAZEPPF	B01NAZENBS	1.00
B00001TOXD	B01KWX8NU8	0.75
B0765CR135	B01FI68VQA	1.00
B07BT98MVN	B01LX9T2O1	1.00
B00IMSWSZ2	B001E2R2M2	1.00
B01D10RT22	B00KX22PBC	1.00
B002N3CE0Q	B074QMGVML	0.67
B00DM276NW	B000ZQ667A	1.00
B00KX22PBC	B07C5F6YDF	1.00
B01IVEI1WA	B003IC4W6A	1.00
B00322XV8Q	B01KWX8NU8	1.00
B005TS13Y0	B07CM33RK6	1.00
B01ENRXHLO	B01EV7JN5K	1.00
B01N8VPAQG	B001M5CSW0	1.00
B01KU4LRW0	B0765CR135	0.67
B007FPQ3SQ	B00DM276NW	1.00
B002UDUPP0	B01KWX8NU8	1.00
B00NVKOEV2	B07LBZVCQT	0.67
B07FXN39TM	B002UDUPP0	1.00
B000H3VFLS	B075FY33QD	1.00
B003IC4W6A	B008DD51O6	1.00
B00318CBS2	B000000XB8	1.00
B008DD510A	B074MNNW5T	1.00
B00BZ5S9QG	B00LCVVDOI	1.00
B00WFAGA7A	B07KGHTC97	1.00
B003A8H7NW	B075VFSLF2	1.00
B003E8ZORY	B003IC4W6A	1.00
B01M3R75G6	B00W9DYAIY	1.00
B001M5CSW0	B00284B0AK	1.00
B07J4VF2C8	B008DD51O6	1.00
B000A0UO0G	B000H67LEA	0.75
B00I5RKX02	B00WO3ML6C	1.00
B002UDUPP0	B00MDU0XCA	0.67
B00BZ5S9TI	B07C9RTFWS	0.67
B00BMDAEHS	B000H3T5HO	1.00
B00JMBDN8O	B075FY33QD	0.67
B074MNNW5T	B06WW5SZLV	1.00
B002UDUPP0	B002KJ3A74	0.50
B00IP8Q9KE	B003QHZDW4	1.00
B0087UHZ9O	B07LBZVCQT	1.00
B00GN3KC6U	B00MDU0XCA	1.00
B01LF76SJS	B01M3R75G6	1.00
B0042ZG2K6	B07BR6RMYS	0.67
B00W9DYAIY	B07BT98MVN	1.00
B019NGYG2E	B002N3CE0Q	1.00
B019NGYG2E	B00BZ5S9QG	1.00
B003VR4XH0	B00TDNNUMK	1.00
B00MDU0XCA	B00GN3KC6U	0.50
B00BG34G3C	B00IP8Q9KE	0.50
B07D1TRJ94	B07C5F6YDF	0.83
B07C9RTFWS	B00BG34FKG	0.67
B00UM239Y0	B00MHTCLYA	0.67
B000H3NRPK	B002B57MA8	0.50
B00IKCMPAS	B07CKZVG19	1.00
B00BZ5S9QG	B002UDUPP0	1.00
B0030552C8	B01NAZENBS	1.00
B002YAGIOG	B003AIKE3C	1.00
B008DD51O6	B013Y79ZJ2	1.00
B074MNNW5T	B01N2OZV41	0.67
B01M3R75G6	B005TS13Y0	1.00
B00BMDAEHS	B00BJH4NXS	0.67
B00BZ5S9QG	B00BZ5S9TI	0.67
B01KU4LRW0	B074MNNW5T	1.00
B01HNOIS4A	B00318CBS2	1.00
B003VR4XH0	B0087UKLR2	1.00
B07532QVC5	B00284B0AK	1.00
B003AIKE3C	B001RNO30W	1.00
B00WO3ML6C	B008DD510A	1.00
B00SOFZTCW	B00DM276NW	1.00
B01KWX8NU8	B015GPJF2C	0.50
B004661X8W	B00FB3JHVO	1.00
B01ENRXHLO	B01N2OZV41	1.00
B07JKZR4BP	B00BG34G3C	1.00
B00YS65KTS	B016C9GLBY	1.00
B0042ZG2K6	B001E2R2M2	0.67
B012S37HQ6	B07C5F6YDF	1.00
B01M3R75G6	B013O1T4NA	1.00
B00YS65KTS	B01FQUHACY	0.67
B013Y79ZJ2	B06XRSGM2R	1.00
B003E8ZORY	B06XRSGM2R	1.00
B01C8MOSSC	B074N78SXG	1.00
